title,author,genre
Babette Goes to War,Jorry Grigoletti,Comedy
Venus in Fur (La Vénus à la fourrure),Lauren Dunsmuir,Drama
Rich and Strange,Aubree Caccavale,Comedy
"Good, the Bad, the Weird, The (Joheunnom nabbeunnom isanghannom)",Ellswerth Dohrmann,Action
"Boys and Girls Guide to Getting Down, The",Sheffy Bendix,Comedy
"Skin Game, The",Victoria Crummay,Drama
"Traveler, The",Abbey Duffield,Horror
Shine,Cheryl Anthiftle,Drama
Jacob's Ladder,Drucill Robelow,Horror
We All Loved Each Other So Much (C'eravamo tanto amati),Kelli Castel,Comedy
The Hunger Games: Mockingjay - Part 1,Costa Burr,Adventure
House Party 2,Cosette Rankmore,Comedy
Where the Wild Things Are,Gwen Pickering,Adventure
"Pleasure Seekers, The",Deva Longbottom,Comedy
I Am Jesus,Jeramie Stuer,Documentary
Colonel Redl (Oberst Redl),Chandler Tansly,Drama
Five Fingers,Carlin Bang,Drama
Ryan's Daughter,Willey Keating,Drama
"Flying Swords of Dragon Gate, The (Long men fei jia)",Kathe Lalley,Action
"Program, The",Jaime Barrett,Action
"Film Unfinished, A (Shtikat Haarchion)",Hale Coolbear,Documentary
"Gate II: Trespassers, The",Athene Mor,Horror
Amen.,Kissie Wolfart,Drama
Autism: The Musical,Eleanore O'Kielt,Documentary
Things We Lost in the Fire,Siffre Campkin,Drama
"Secret of My Succe$s, The (a.k.a. The Secret of My Success)",Marje Carrell,Comedy
The Connection,Quinn Hayer,Crime
Honor Among Lovers,Gilberto Pentland,Drama
Gasht-e ershad,Leland Saiz,Comedy
That Day (Ce jour-là),Arleyne Kissell,Comedy
